name,zone,club,grade,title,last_played,player_key,profile_url
Mark Reynolds,D1,NA,1178,NA,NA,d1 mark reynolds,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20mark%20reynolds
Rosie Christmas,E1,NA,1176,NA,NA,e1 rosie christmas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20rosie%20christmas
Grenville Brazener,D1,NA,1175,NA,NA,d1 grenville brazener,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20grenville%20brazener
Kieron Roberts,E1,NA,1173,NA,NA,e1 kieron roberts,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20kieron%20roberts
Rob Tipping,E1,NA,1169,NA,NA,e1 rob tipping,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20rob%20tipping
James Williams,E1,NA,1169,NA,2022-06-07,e1 james williams,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20james%20williams
Robin Kerremans,W1,NA,1166,NA,NA,w1 robin kerremans,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20robin%20kerremans
Peter Merrifield,W1,NA,1166,NA,2022-04-24,w1 peter merrifield,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20peter%20merrifield
Nikolay Lidzhiev,W1,NA,1164,NA,NA,w1 nikolay lidzhiev,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20nikolay%20lidzhiev
Kristupas Kirklys,N1,NA,1160,NA,NA,n1 kristupas kirklys,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20kristupas%20kirklys
Ray Angle,E1,NA,1154,NA,NA,e1 ray angle,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20ray%20angle
Khushi Bagga,E1,NA,1150,NA,2022-05-09,e1 khushi bagga,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20khushi%20bagga
Luke McArdle,D1,NA,1150,NA,NA,d1 luke mcardle,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20luke%20mcardle
Joshua Morgan,W1,NA,1142,NA,2022-04-05,w1 joshua morgan,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20joshua%20morgan
Ken Curry,E1,NA,1141,NA,NA,e1 ken curry,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20ken%20curry
Erion Pici,E1,NA,1138,NA,2022-06-06,e1 erion pici,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20erion%20pici
Steve Jeacock,W1,NA,1136,NA,NA,w1 steve jeacock,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20steve%20jeacock
Duncan Elliott,E1,NA,1134,NA,2022-05-30,e1 duncan elliott,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20duncan%20elliott
Leighton Anthony,W1,NA,1130,NA,NA,w1 leighton anthony,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20leighton%20anthony
Alan Valentine,N1,NA,1126,NA,NA,n1 alan valentine,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20alan%20valentine
Colin Chambers,W1,NA,1125,NA,NA,w1 colin chambers,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20colin%20chambers
Ian Burrows,E1,NA,1124,NA,NA,e1 ian burrows,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20ian%20burrows
Peter Williams,E1,NA,1120,NA,NA,e1 peter williams,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20peter%20williams
Owain Groves,E1,NA,1118,NA,2022-06-08,e1 owain groves,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20owain%20groves
Anne Veale,W1,NA,1118,NA,NA,w1 anne veale,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20anne%20veale
Maurice Barnett,E1,NA,1117,NA,NA,e1 maurice barnett,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20maurice%20barnett
Sumanth Naidu,E1,NA,1113,NA,2022-05-16,e1 sumanth naidu,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20sumanth%20naidu
Ian Dyer,W1,NA,1111,NA,NA,w1 ian dyer,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20ian%20dyer
Matthew Roberts,W1,NA,1111,NA,NA,w1 matthew roberts,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20matthew%20roberts
Bill Davies,E1,NA,1107,NA,2022-03-29,e1 bill davies,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20bill%20davies
Ieuan Thomas,E1,NA,1107,NA,NA,e1 ieuan thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20ieuan%20thomas
Jacob Wynn,G1,NA,1105,NA,NA,g1 jacob wynn,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20jacob%20wynn
Adam Christopher,E1,NA,1100,NA,2022-06-13,e1 adam christopher,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20adam%20christopher
Jamie Glancey,N1,NA,1100,NA,NA,n1 jamie glancey,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20jamie%20glancey
Braden Lewis,E1,NA,1100,NA,2022-05-30,e1 braden lewis,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20braden%20lewis
Len Morris,D1,NA,1100,NA,NA,d1 len morris,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20len%20morris
Sean Robinson,E1,NA,1100,NA,2022-02-21,e1 sean robinson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20sean%20robinson
Jessica Shi,E1,NA,1100,NA,2022-03-29,e1 jessica shi,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20jessica%20shi
Artur Shlyakov,W1,NA,1100,NA,NA,w1 artur shlyakov,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20artur%20shlyakov
Thomas Tolhurst,D1,NA,1100,NA,NA,d1 thomas tolhurst,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20thomas%20tolhurst
Alex Collis,E1,NA,1095,NA,NA,e1 alex collis,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20alex%20collis
Moe De Souza,W1,NA,1095,NA,NA,w1 moe de souza,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20moe%20de%20souza
Karl Beer,W1,NA,1093,NA,NA,w1 karl beer,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20karl%20beer
June Evans,W1,NA,1093,NA,NA,w1 june evans,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20june%20evans
Joshua Abramsky,G1,NA,1088,NA,NA,g1 joshua abramsky,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20joshua%20abramsky
