name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Pat Bennett,G1,NA,2069,NA,NA,11,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=11,pat bennett
Patrick Sullivan,G1,NA,1347,NA,NA,83,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=83,patrick sullivan
Paul Atkinson,G1,NA,2149,NA,NA,6,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=6,paul atkinson
Paul Hatchett,G1,NA,2038,NA,NA,16,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=16,paul hatchett
Paul Kostanjsek,G1,NA,1327,NA,NA,85,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=85,paul kostanjsek
Paul Minton,G1,NA,1560,NA,NA,66,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=66,paul minton
Paul O'Neill,G1,NA,2156,NA,NA,5,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=5,paul o'neill
Peter A Richmond,G1,NA,2141,NA,NA,8,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=8,peter a richmond
Peter Kirby,G1,NA,2055,NA,NA,14,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=14,peter kirby
Peter Varley,G1,NA,2213,NA,NA,3,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=3,peter varley
Peter Wood-Fisher,G1,NA,1262,NA,NA,87,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=87,peter wood-fisher
Phil Smith,G1,NA,1413,NA,NA,75,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=75,phil smith
Rachel McIntosh,G1,NA,850,NA,NA,114,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=114,rachel mcintosh
Raymond Cooke,G1,NA,1340,NA,NA,84,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=84,raymond cooke
Rhyddian Downing,G1,NA,1041,NA,NA,95,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=95,rhyddian downing
Rhys Bennett,G1,NA,1930,NA,NA,30,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=30,rhys bennett
Richard Batey,G1,NA,1803,NA,NA,40,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=40,richard batey
Richard Livermore,G1,NA,1619,NA,NA,59,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=59,richard livermore
Richard Miles,G1,NA,1967,NA,NA,25,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=25,richard miles
Robert Taylor,G1,NA,1934,NA,NA,28,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=28,robert taylor
Roger Bennett,G1,NA,2019,NA,NA,20,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=20,roger bennett
Roger Lockyer,G1,NA,1000,NA,NA,102,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=102,roger lockyer
Ron Williams,G1,NA,1654,NA,NA,54,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=54,ron williams
Sam Goodfellow,G1,NA,866,NA,NA,111,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=111,sam goodfellow
Sandra G Blackburn,G1,NA,1563,NA,NA,65,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=65,sandra g blackburn
Simon Tang,G1,NA,1569,NA,NA,64,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=64,simon tang
Stephanie du Toit,G1,NA,1660,NA,NA,53,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=53,stephanie du toit
Steve Horrell,G1,NA,1690,NA,NA,48,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=48,steve horrell
Steve Vickery,G1,NA,1749,NA,NA,43,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=43,steve vickery
Steve Williams (Cwm),G1,NA,1796,NA,NA,41,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=41,steve williams (cwm)
Steve Williams (Mal),G1,NA,1672,NA,NA,49,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=49,steve williams (mal)
Sven Zeidler,G1,NA,2251,NA,NA,1,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=1,sven zeidler
Terry Hill,G1,NA,1654,NA,NA,55,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=55,terry hill
Thomas Thorpe,G1,NA,2064,NA,NA,13,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=13,thomas thorpe
Tim Sayer,G1,NA,1014,NA,NA,99,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=99,tim sayer
Tony Davies,G1,NA,1389,NA,NA,79,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=79,tony davies
Warren Brown,G1,NA,1250,NA,NA,116,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=116,warren brown
William Newrick,G1,NA,1389,NA,NA,80,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=80,william newrick
Woody Shaw,G1,NA,1028,NA,NA,96,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=96,woody shaw
Zane Allford,G1,NA,1751,NA,NA,42,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=42,zane allford
