name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Matthew Davies,E1,NA,1957,NA,2020-03-11,e1 matthew davies,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20matthew%20davies,matthew davies
Benjamin Choo Yin,E1,NA,1953,NA,NA,e1 benjamin choo yin,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20benjamin%20choo%20yin,benjamin choo yin
David Guy,W1,NA,1952,NA,2020-03-03,w1 david guy,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20david%20guy,david guy
Cliff Rice,N1,NA,1949,NA,2020-03-03,n1 cliff rice,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20cliff%20rice,cliff rice
Rudy van Kemenade,D1,NA,1943,NA,2020-03-12,d1 rudy van kemenade,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=d1%20rudy%20van%20kemenade,rudy van kemenade
Mark Bastow,N1,NA,1942,NA,2020-03-10,n1 mark bastow,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20mark%20bastow,mark bastow
Imogen Camp,N1,NA,1934,WCM,2020-03-07,n1 imogen camp,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20imogen%20camp,imogen camp
Calum Harris,E1,NA,1929,NA,2020-03-10,e1 calum harris,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20calum%20harris,calum harris
Hugo Fowler,N1,NA,1920,NA,2020-01-27,n1 hugo fowler,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20hugo%20fowler,hugo fowler
Steve Smith,W1,NA,1918,NA,2020-03-05,w1 steve smith,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20steve%20smith,steve smith
Adam Watkin-Jones,D1,NA,1918,NA,NA,d1 adam watkin-jones,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=d1%20adam%20watkin-jones,adam watkin-jones
David Vaughan,G1,NA,1915,NA,2020-03-04,g1 david vaughan,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20david%20vaughan,david vaughan
Gary Thomas,N1,NA,1912,NA,2020-03-12,n1 gary thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20gary%20thomas,gary thomas
Anthony Hughes,G1,NA,1909,CM,2020-03-12,g1 anthony hughes,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20anthony%20hughes,anthony hughes
Barbara Graczyk-Gibiec,E1,NA,1901,NA,2020-03-04,e1 barbara graczyk-gibiec,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20barbara%20graczyk-gibiec,barbara graczyk-gibiec
Gwyn Havard,E1,NA,1896,NA,2020-03-02,e1 gwyn havard,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20gwyn%20havard,gwyn havard
Ray J Holland,N1,NA,1895,NA,2020-03-03,n1 ray j holland,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20ray%20j%20holland,ray j holland
Charles Summers,E1,NA,1895,NA,2020-03-12,e1 charles summers,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20charles%20summers,charles summers
Dai James,E1,NA,1883,NA,2020-03-02,e1 dai james,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20dai%20james,dai james
Richard Batey,G1,NA,1875,NA,2020-03-11,g1 richard batey,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20richard%20batey,richard batey
Gareth Ellis,N1,NA,1873,NA,NA,n1 gareth ellis,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20gareth%20ellis,gareth ellis
David Robinson,E1,NA,1873,NA,2020-03-09,e1 david robinson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20david%20robinson,david robinson
Bob Moore,W1,NA,1871,NA,2020-03-02,w1 bob moore,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20bob%20moore,bob moore
Zane Allford,G1,NA,1868,NA,2020-03-12,g1 zane allford,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20zane%20allford,zane allford
Duncan MacDonald,E1,NA,1850,NA,2020-03-10,e1 duncan macdonald,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20duncan%20macdonald,duncan macdonald
Elliott MacNeil,E1,NA,1850,NA,2020-03-10,e1 elliott macneil,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20elliott%20macneil,elliott macneil
Glyn Sinnett,W1,NA,1840,NA,NA,w1 glyn sinnett,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20glyn%20sinnett,glyn sinnett
Andrew Di-Vetta,E1,NA,1835,NA,2020-02-16,e1 andrew di-vetta,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20andrew%20di-vetta,andrew di-vetta
Will Harwood,E1,NA,1834,NA,2020-03-03,e1 will harwood,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20will%20harwood,will harwood
Edward Donovan,E1,NA,1832,NA,2020-03-11,e1 edward donovan,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20edward%20donovan,edward donovan
Hywel Griffiths,W1,NA,1823,NA,2020-03-05,w1 hywel griffiths,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20hywel%20griffiths,hywel griffiths
Andrew Thomas,W1,NA,1816,NA,2020-02-10,w1 andrew thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20andrew%20thomas,andrew thomas
Paul Bridges,E1,NA,1815,NA,2020-02-25,e1 paul bridges,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20paul%20bridges,paul bridges
Bill Hunt,E1,NA,1815,NA,2020-03-11,e1 bill hunt,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20bill%20hunt,bill hunt
Lynda Smith,G1,NA,1808,WCM,2020-02-06,g1 lynda smith,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20lynda%20smith,lynda smith
Chris Dixon,G1,NA,1803,NA,2020-03-04,g1 chris dixon,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20chris%20dixon,chris dixon
Keith Downey,W1,NA,1802,NA,2020-03-03,w1 keith downey,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20keith%20downey,keith downey
Mark Thomas,W1,NA,1800,NA,2020-03-04,w1 mark thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20mark%20thomas,mark thomas
Alan Keene,G1,NA,1784,NA,2020-03-12,g1 alan keene,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20alan%20keene,alan keene
John Bowers,N1,NA,1778,NA,2020-03-03,n1 john bowers,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20john%20bowers,john bowers
Jake Hurley,E1,NA,1778,NA,2020-03-11,e1 jake hurley,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20jake%20hurley,jake hurley
Ian Eustis,W1,NA,1777,NA,2020-03-04,w1 ian eustis,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20ian%20eustis,ian eustis
Andrew Owen,G1,NA,1774,NA,2020-02-12,g1 andrew owen,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20andrew%20owen,andrew owen
Thomas Wells,W1,NA,1768,NA,2020-01-23,w1 thomas wells,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20thomas%20wells,thomas wells
Martin C Jones,D1,NA,1762,NA,2020-03-09,d1 martin c jones,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=d1%20martin%20c%20jones,martin c jones
Guy Wagner,E1,NA,1759,NA,NA,e1 guy wagner,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20guy%20wagner,guy wagner
Roy Thomas,E1,NA,1757,NA,2020-03-10,e1 roy thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20roy%20thomas,roy thomas
Neil Carter,G1,NA,1755,NA,2020-03-05,g1 neil carter,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20neil%20carter,neil carter
Kimberly Chong,E1,NA,1752,NA,2020-03-11,e1 kimberly chong,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20kimberly%20chong,kimberly chong
Dewi Jones,N1,NA,1748,NA,2020-03-02,n1 dewi jones,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20dewi%20jones,dewi jones
Owain Meurig,N1,NA,1745,NA,2020-03-02,n1 owain meurig,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20owain%20meurig,owain meurig
Owain Davies,D1,NA,1742,NA,2020-03-02,d1 owain davies,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=d1%20owain%20davies,owain davies
Liam Penny,E1,NA,1739,NA,2020-03-12,e1 liam penny,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20liam%20penny,liam penny
Peter Quinn,E1,NA,1738,NA,2020-03-12,e1 peter quinn,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20peter%20quinn,peter quinn
G Brian Davies,N1,NA,1736,NA,2020-03-03,n1 g brian davies,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20g%20brian%20davies,g brian davies
